session,response,express
30908,544687,2.432
30915,544806,1.4543333333333335
31525,553401,1.7583333333333335
31788,557533,2.28
31901,559573,2.0393333333333334
31930,560124,2.267
31942,560330,1.7746666666666666
31998,561348,2.723333333333333
32192,564802,1.3623333333333336
32205,565035,2.9343333333333335
32210,565127,1.8030000000000002
32213,565185,2.754
32239,565652,2.840666666666667
32258,566007,1.3999999999999997
32438,569207,1.2853333333333332
32674,573193,2.0980000000000003
32714,573907,1.402
32807,575320,2.502666666666667
32922,577291,1.2113333333333334
33652,588202,1.877
35171,611797,2.0319999999999996
37230,646366,2.3033333333333332
38071,655107,3.5676666666666663
40760,679527,2.0559999999999996
40865,680973,1.2813333333333332
40887,681363,1.9963333333333333
40964,682698,2.732666666666667
41091,684830,2.509333333333333
41105,685076,3.1609999999999996
41120,685369,1.875333333333333
41664,693669,1.5889999999999997
42279,701448,1.9956666666666667
42307,701799,1.6406666666666665
42972,708875,1.5030000000000001
44086,718446,2.7703333333333333
44169,719354,2.305
44867,725913,2.6366666666666667
45071,727926,2.0523333333333333
46117,738009,2.407
46828,744640,4.618
46836,744730,2.510666666666667
46990,746491,1.7536666666666667
47002,746639,2.752666666666667
47041,747114,3.333
47043,747136,3.8653333333333335
47054,747303,4.240666666666667
47092,747752,3.212666666666667
47152,748431,4.152666666666667
47361,750388,4.576333333333333
47363,750425,3.076
47378,750595,3.2503333333333337
47388,750666,3.8443333333333336
47421,751001,4.544666666666667
47464,751440,4.568333333333333
47502,751928,3.9923333333333333
47582,752991,4.272
47767,754873,1.9643333333333333
47824,755427,4.2683333333333335
47894,756104,3.8343333333333334
47912,756273,1.7473333333333334
48049,757533,4.599
48155,758448,1.8556666666666668
48268,759434,1.4286666666666665
48359,760144,3.9593333333333334
48410,760695,2.9766666666666666
48418,760770,2.045
48502,761579,3.283333333333333
48539,761909,1.5893333333333335
48821,764254,2.3843333333333336
48927,765393,2.7456666666666667
48966,765729,3.1023333333333336
48972,765847,3.6426666666666665
48978,765932,2.757
49169,767971,1.9553333333333331
49197,768328,3.670666666666667
49373,770428,3.235666666666667
49541,772048,1.4063333333333332
49581,772453,3.4073333333333333
49599,772599,2.5493333333333332
49607,772661,1.6496666666666666
49661,773095,3.0080000000000005
49698,773421,3.578
49703,773470,2.9919999999999995
49751,773901,3.5596666666666668
49841,774697,3.337666666666667
49998,776208,3.299
50020,776443,2.7123333333333335
50026,776496,3.938
50030,776544,3.5243333333333333
50031,776562,3.2786666666666666
50061,776900,2.857333333333333
50103,777291,3.8403333333333336
50118,777458,4.408333333333332
50140,777699,1.8726666666666667
50143,777727,2.8156666666666665
50193,778276,4.389333333333334
50212,778441,3.6946666666666665
50232,778642,4.369
50645,782562,2.4883333333333333
50666,782748,2.7423333333333333
50687,782963,4.349
50918,784996,4.073666666666667
50941,785256,3.268333333333333
51042,786358,3.801666666666667
51192,787877,1.4173333333333333
51264,788614,2.4090000000000003
51375,789795,1.3019999999999998
51727,793373,3.9966666666666666
52113,797690,2.795
52117,797763,2.9103333333333334
52324,800004,3.0253333333333337
52490,801652,3.235
52743,804168,1.3163333333333334
52746,804223,1.434
52812,805147,1.641333333333333
52897,806001,1.6253333333333335
53212,808896,2.469
53264,809365,3.513666666666666
53536,811923,3.2733333333333334
53710,813750,3.4836666666666667
