	bottom_up_1	bottom_up_2	bottom_up_3	bottom_up_4	bottom_up_5	bottom_up_6	bottom_up_7	bottom_up_8
Sam	0	0	0	0	0	0	0	0
and	1	0	0	1	0	0	0	0
Jo	1	0	0	1	0	0	0	0
went	0	0	0	1	0	0	0	0
for	0	0	1	1	0	0	0	0
a	0	1	1	1	0	0	0	0
hike	1	1	1	1	0	0	0	0
.	0	0	0	1	0	0	0	0
They	0	0	0	0	0	0	0	0
took	0	0	0	0	1	0	0	0
a	0	0	0	1	1	0	0	0
path	1	0	1	1	1	0	0	0
through	0	0	1	1	1	0	0	0
the	0	1	1	1	1	0	0	0
woods	1	1	1	1	1	0	0	0
.	0	0	0	0	1	0	0	0
Suddenly	0	0	0	0	0	0	0	0
,	0	0	0	0	0	0	0	1
Sam	0	0	0	0	0	0	0	1
heard	0	0	0	0	0	0	0	1
a	0	0	0	0	0	0	1	1
noise	1	0	0	0	0	1	1	1
coming	0	0	0	0	0	1	1	1
from	0	0	0	0	1	1	1	1
the	0	0	0	1	1	1	1	1
tree	1	0	1	1	1	1	1	1
above	0	0	1	1	1	1	1	1
their	0	1	1	1	1	1	1	1
heads	1	1	1	1	1	1	1	1
.	0	0	0	0	0	0	0	1
Jo	0	0	0	0	0	0	0	0
climbed	0	0	0	0	0	0	0	1
up	0	0	0	0	0	1	1	1
to	0	0	0	0	0	1	1	1
see	0	0	0	0	1	1	1	1
what	0	0	0	1	1	1	1	1
the	0	0	1	1	1	1	1	1
noise	1	1	1	1	1	1	1	1
was	0	1	1	1	1	1	1	1
and	0	0	0	0	0	0	1	1
found	0	0	0	0	0	0	1	1
two	0	1	0	0	0	0	1	1
baby	1	1	0	0	0	0	1	1
squirrels	1	1	0	0	0	0	1	1
.	0	0	0	0	0	0	0	1
The	0	0	0	0	0	0	0	0
babies	1	1	0	0	1	0	0	0
were	0	1	0	0	1	0	0	0
alone	1	1	0	0	1	0	0	0
,	0	0	0	0	1	0	0	0
but	0	0	0	0	1	0	0	0
their	0	0	0	0	1	0	0	0
mother	1	0	0	1	1	0	0	0
must	0	0	0	1	1	0	0	0
be	0	0	1	1	1	0	0	0
somewhere	0	1	1	1	1	0	0	0
near	1	1	1	1	1	0	0	0
.	0	0	0	0	1	0	0	0
The	0	0	0	0	0	0	0	0
children	1	1	0	0	0	0	0	0
watched	0	1	0	0	0	0	0	0
and	1	1	0	0	0	0	0	0
waited	1	1	0	0	0	0	0	0
.	0	1	0	0	0	0	0	0
Sure	0	0	0	0	0	0	0	0
enough	1	0	0	0	1	0	0	0
,	0	0	0	0	1	0	0	0
the	0	0	0	0	1	0	0	0
mother	1	0	0	0	1	0	0	0
soon	0	0	0	0	1	0	0	0
returned	0	0	0	0	1	0	0	0
with	0	0	0	1	1	0	0	0
a	0	0	1	1	1	0	0	0
mouthful	1	1	1	1	1	0	0	0
of	0	1	1	1	1	0	0	0
nuts	1	1	1	1	1	0	0	0
.	0	0	0	0	1	0	0	0
The	0	0	0	0	0	0	0	0
noises	1	0	0	0	0	1	0	0
stopped	0	0	0	0	0	1	0	0
as	0	0	0	0	1	1	0	0
the	0	0	0	1	1	1	0	0
baby	1	0	1	1	1	1	0	0
squirrels	1	0	1	1	1	1	0	0
began	0	0	1	1	1	1	0	0
to	0	1	1	1	1	1	0	0
eat	1	1	1	1	1	1	0	0
.	0	0	0	0	0	1	0	0
Sam	0	0	0	0	0	0	0	0
and	1	0	0	0	0	0	0	1
Jo	1	0	0	0	0	0	0	1
smiled	0	0	0	0	0	0	0	1
,	0	0	0	0	0	0	1	1
knowing	0	0	0	0	0	0	1	1
the	0	0	0	0	0	1	1	1
squirrels	1	0	0	0	1	1	1	1
were	0	0	0	0	1	1	1	1
safe	0	0	0	1	1	1	1	1
with	0	0	1	1	1	1	1	1
their	0	1	1	1	1	1	1	1
mother	1	1	1	1	1	1	1	1
.	0	0	0	0	0	0	0	1
