word	NotSightword	NotDecodable	NotDecodableAtGradeLevel
Sam	1	0	0
and	0	0	0
Jo	1	0	1
went	0	0	0
for	0	0	0
a	0	0	0
hike.	1	0	0
They	0	0	0
took	0	0	0
a	0	0	0
path	1	0	0
through	1	1	0
the	0	0	0
woods.	0	0	0
Suddenly,	1	0	1
Sam	1	0	0
heard	0	1	0
a	0	0	0
noise	0	0	0
coming	0	1	0
from	0	0	0
the	0	0	0
tree	0	0	0
above	1	1	0
their	0	1	0
heads.	1	0	0
Jo	1	0	1
climbed	1	1	0
up	0	0	0
to	0	0	0
see	0	0	0
what	0	0	0
the	0	0	0
noise	0	0	0
was,	0	1	0
and	0	0	0
found	0	0	0
two	0	1	0
baby	1	0	1
squirrels.	0	0	0
The	0	0	0
babies	1	0	1
were	0	1	0
alone,	0	0	1
but	0	0	0
their	0	1	0
mother	0	1	0
must	0	0	0
be	0	0	0
somewhere	0	1	0
near.	0	0	0
The	0	0	0
children	0	0	0
watched	0	0	1
and	0	0	0
waited.	0	0	0
Sure	1	1	0
enough,	1	1	0
the	0	0	0
mother	0	1	0
soon	0	0	0
returned	1	0	1
with	0	0	0
a	0	0	0
mouthful	1	0	1
of	0	0	0
nuts.	1	0	0
The	0	0	0
noises	0	0	1
stopped	0	0	0
as	0	0	0
the	0	0	0
baby	1	0	1
squirrels	0	0	0
began	0	0	1
to	0	0	0
eat.	0	0	0
Sam	1	0	0
and	0	0	0
Jo	1	0	1
smiled,	0	0	1
knowing	0	0	1
the	0	0	0
squirrels	0	0	0
were	0	1	0
safe	1	0	0
with	0	0	0
their	0	1	0
mother.	0	1	0
